x1,x2,x3,x4,x5,x6,y
C,b,-4.430541820515104,-1.9101955256013397,-0.09181755417497976,-0.75188882582244565,-0.23506196069115562
B,b,2.4612167362605746,3.849404494583095,1.2286803299289772,0.9029198551908303,-2.3769196207975147
B,a,-1.3995810171331426,2.35145438975793,0.44622505152554015,1.678659567684626,0.8064491671097748
C,b,-0.17302048137521361,-4.3934525253762455,1.012738566882242,-1.1314424061619541,-2.919778323340394
B,b,1.6056858163588839,1.131805047250066,1.047814992717639,1.2358924704335972,-4.273373732989986
B,a,-2.0593722683030857,-0.689756222715125,-0.6936497720329209,0.3344965182981146,-2.8266578487505214
B,b,0.8353815637838927,0.14990942110253513,0.26428643268883495,0.8583764801516398,-6.181494665294229
B,a,-0.555025705856811,-2.192612772559206,-0.42383072659915794,-2.1520392469773975,1.1578928759533942
A,b,2.063469743237392,-0.26532437213643173,1.2191540143080595,1.8691004668297422,-1.7014811997654216
B,b,0.6080191499299366,2.910424864808687,-2.2213724848255447,-1.0984487950977606,-2.078961279683524
C,b,0.46554434942771644,-0.26178182904862135,-0.5264739519512138,-1.2718496241164567,-5.602696940121423
B,a,3.27306196494489,0.05575506479641915,2.6624291549166,2.9429707798837765,-2.691883185965863
C,a,-0.27950673087731215,-0.609009152122007,-1.5949974556143094,1.8024152739347163,-3.3146074963953014
B,a,0.14773769470823886,3.0516140884843077,0.693044291482171,1.153526346015736,2.608836318191238
C,b,4.859806109364591,1.629788683406762,-1.3666268644116377,-0.41440121472496194,-5.994148936911179
B,a,-0.7052710459165904,1.2954114247734667,0.5450601284611345,1.9834543498108428,-1.3970298695995635
B,b,0.1814778434391581,0.7472220370925554,-0.45847560655607394,0.9429327413605618,-7.096339754624618
C,b,1.1329301608016509,-4.174886377522735,1.7928089602713,2.137765071636101,0.2587305990622153
A,b,-0.6210602970297474,-2.4793604855878915,-0.05773553106073873,0.2807531820882789,-2.3151649590328263
B,a,0.5182182964800224,0.24749840212088986,1.4776697249098905,-2.4816801615763255,-1.4607717133789533
A,a,-0.33989914367997165,-0.7640193658026413,-1.914688643228418,-1.2620887464864754,-1.2733795780114214
C,a,-0.6726400310608046,-0.8397050236580014,0.5358877624357125,-2.092207005678274,-2.601208767158361
B,b,-0.41919943647976193,-3.4357835249054545,-2.063242845616334,-4.157777919283906,-3.7918069506816305
A,b,-0.8014270760829145,-0.14033321634941132,1.1324725805512381,2.5441826954778164,-5.659150324593819
A,b,2.853839694920934,-0.15611284660097585,-2.8000926667274824,-0.8759150856282022,-3.3900660005305725
C,b,-3.707274001797153,2.8590974008785617,0.3745473464166706,0.6264107132687107,0.36716383034810257
A,b,1.2809463262910397,-0.11232157377518047,-0.35260361122554196,3.4786523098332833,-1.7769578902832432
C,a,2.630002192984972,-2.449433490142761,-1.4284200781433285,-1.6040011649862569,2.95433752058029
A,b,-1.4728929164173055,0.3143810584196389,-0.27152186418630814,2.5520660699049635,-6.2510037714522095
A,b,-2.752088862363134,1.506877438418918,0.2733370234773508,-1.530214579681125,-3.378481963470533
A,b,-1.9203493667438931,2.2952460927611407,3.8738710957355584,2.618624247643137,-3.3910007782600404
C,b,0.4497882837000428,-2.112332463338578,-0.7702971827007742,-1.5026465531793003,-0.8294415157774729
B,b,-0.14804190540646875,0.6417172041514684,-4.009682443265725,2.8332100121114765,-8.067502715622213
B,b,-1.8118858787658318,1.9112092086802042,-2.8306627574207015,0.8801031064582515,-7.3707008326704315
A,b,-1.9994016110148902,1.3631071166042232,-1.2792216266469247,-1.7107315350485008,-4.828749710886664
C,a,0.08428048907028723,-2.680313920051918,-0.8347903056258424,0.7984987413147259,2.919769739086601
B,a,-0.7450127367593101,-0.9900136553350489,-0.30927056771327255,0.7878783389575688,-1.6951265979488543
C,a,-0.19029476169913018,-2.8219545057569606,-1.3109049678740652,-0.9494547191267284,2.8923945596350533
A,b,-1.6404895419168373,-2.093826430724434,-0.7868528096466801,-0.2730817826868342,-3.596856634695234
